               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              0.1539,            0.037844,            0.037501,            0.014135,             0.33333,            0.027501,           0.0052508,             0.14558,            0.039742,            0.037958,              0.0027,              0.0027,              0.0757
                   1,             0.13236,            0.046625,            0.030174,             0.17885,                0.75,             0.23417,            0.091242,             0.13957,            0.034471,            0.029967,           0.0054456,           0.0054456,            0.050446
                   2,             0.12801,            0.041716,             0.02833,             0.70132,             0.41667,             0.47536,            0.097425,             0.13342,             0.03299,            0.023057,           0.0081357,           0.0081357,            0.025136
                   3,              0.1263,            0.041442,            0.024105,             0.79305,                 0.5,             0.68472,             0.17807,             0.11915,             0.04192,            0.020209,            0.009703,            0.009703,            0.009703
                   4,             0.12018,            0.043419,            0.018842,             0.86638,             0.44444,             0.56682,             0.19762,              0.1182,            0.044897,            0.012159,            0.009703,            0.009703,            0.009703
                   5,             0.11253,            0.047438,            0.017624,             0.73226,             0.44444,              0.5237,             0.21822,             0.10775,             0.05441,            0.013279,            0.009604,            0.009604,            0.009604
                   6,             0.10691,            0.053282,            0.015881,             0.79896,             0.62957,              0.7609,             0.40669,            0.098948,            0.056342,           0.0099074,            0.009505,            0.009505,            0.009505
                   7,             0.10405,            0.050644,            0.014361,             0.75867,             0.48772,             0.56833,             0.40068,            0.089717,            0.056175,           0.0090845,            0.009406,            0.009406,            0.009406
                   8,            0.096394,            0.053502,            0.013856,             0.41436,             0.83333,             0.69239,              0.5056,            0.087817,             0.05579,            0.011089,            0.009307,            0.009307,            0.009307
                   9,            0.096591,            0.054062,            0.013224,             0.50769,                   1,             0.74947,             0.52753,            0.085531,            0.055485,           0.0093485,            0.009208,            0.009208,            0.009208
                  10,            0.093257,            0.055543,            0.012353,             0.65778,             0.99856,             0.93582,             0.64597,            0.078375,             0.05715,           0.0083623,            0.009109,            0.009109,            0.009109
                  11,            0.089874,            0.057124,            0.011516,             0.53514,                   1,              0.7928,             0.57501,            0.074105,            0.057886,           0.0081304,             0.00901,             0.00901,             0.00901
                  12,            0.086954,            0.057452,            0.011389,             0.80373,             0.98148,             0.98972,             0.58014,            0.076253,            0.057106,           0.0070777,            0.008911,            0.008911,            0.008911
                  13,            0.086853,            0.056363,            0.010441,             0.83043,             0.97849,             0.95609,             0.63649,            0.072755,            0.057749,           0.0077619,            0.008812,            0.008812,            0.008812
                  14,            0.085469,            0.053971,            0.010526,             0.74316,             0.97849,             0.90278,             0.64357,            0.069293,            0.056879,           0.0084061,            0.008713,            0.008713,            0.008713
                  15,            0.082576,            0.058404,            0.010296,             0.82719,             0.82249,             0.90047,             0.61998,            0.075345,              0.0562,           0.0071553,            0.008614,            0.008614,            0.008614
                  16,            0.084391,            0.056867,            0.010257,             0.78435,             0.98233,             0.91462,              0.6381,            0.070876,            0.057319,           0.0074346,            0.008515,            0.008515,            0.008515
                  17,            0.084507,            0.053926,            0.009289,             0.78844,             0.97849,             0.93783,             0.69582,             0.07112,            0.057082,           0.0065733,            0.008416,            0.008416,            0.008416
                  18,            0.081792,             0.05878,           0.0089223,             0.92897,             0.96403,             0.96617,             0.68801,            0.071106,            0.056773,           0.0063561,            0.008317,            0.008317,            0.008317
                  19,            0.084619,            0.054711,           0.0084549,             0.91986,             0.90509,             0.95312,             0.69438,            0.067221,            0.059662,           0.0062158,            0.008218,            0.008218,            0.008218
                  20,            0.078025,            0.060482,            0.008046,             0.85667,             0.93523,             0.94351,             0.70004,            0.066963,            0.056597,           0.0060392,            0.008119,            0.008119,            0.008119
                  21,            0.080665,            0.057005,           0.0083418,             0.97176,             0.86131,             0.96714,             0.70732,             0.06739,            0.057994,           0.0053512,             0.00802,             0.00802,             0.00802
                  22,            0.078815,            0.055367,           0.0074765,             0.96416,             0.93119,             0.97411,             0.64858,            0.069597,            0.058428,            0.005265,            0.007921,            0.007921,            0.007921
                  23,            0.077303,            0.055657,           0.0077281,              0.7961,             0.99719,             0.91887,             0.67795,            0.065306,            0.057149,           0.0061293,            0.007822,            0.007822,            0.007822
