               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              0.1519,            0.035515,            0.037518,           0.0011111,             0.33333,            0.066333,           0.0066333,             0.14956,            0.034395,            0.037303,              0.0027,              0.0027,              0.0757
                   1,             0.13986,            0.046253,             0.03618,                   0,                   0,                   0,                   0,             0.14508,            0.037186,            0.036767,           0.0054319,           0.0054319,            0.050432
                   2,             0.13006,            0.059605,            0.033536,             0.34361,             0.16667,           0.0087523,           0.0023522,             0.13735,            0.042128,            0.034046,           0.0080946,           0.0080946,            0.025095
                   3,             0.13116,            0.051319,            0.030402,             0.85861,             0.22985,             0.61885,             0.24739,             0.12655,            0.051846,             0.03021,           0.0096288,           0.0096288,           0.0096288
                   4,             0.12742,            0.049696,            0.028012,             0.26902,             0.83333,             0.41106,             0.14442,             0.11745,            0.053032,            0.025429,           0.0096288,           0.0096288,           0.0096288
                   5,             0.12293,            0.048365,            0.024897,             0.25003,             0.83329,             0.41349,              0.2501,             0.11831,            0.048417,            0.019705,            0.009505,            0.009505,            0.009505
                   6,             0.12108,            0.045623,            0.020771,             0.51085,             0.83333,             0.79345,             0.36302,             0.11367,            0.048095,            0.016246,           0.0093813,           0.0093813,           0.0093813
                   7,             0.11892,            0.045662,            0.018089,             0.46007,             0.66742,             0.56312,             0.22254,             0.10771,            0.052634,            0.014965,           0.0092575,           0.0092575,           0.0092575
                   8,             0.11249,            0.053241,            0.016246,             0.39222,             0.83333,             0.63203,             0.31764,              0.1036,            0.052792,            0.011339,           0.0091337,           0.0091337,           0.0091337
                   9,             0.11324,            0.047452,            0.015472,             0.82933,                 0.5,             0.70972,             0.31562,             0.10188,            0.052887,            0.010286,             0.00901,             0.00901,             0.00901
