               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.15763,            0.036038,            0.038923,             0.38472,            0.083333,            0.021996,           0.0021996,             0.15186,            0.029163,            0.035757,              0.0027,              0.0027,              0.0757
                   1,             0.13033,            0.047218,            0.031522,             0.31258,             0.66667,             0.27742,            0.075964,             0.15149,            0.028933,            0.033117,           0.0054319,           0.0054319,            0.050432
                   2,             0.12831,            0.040647,            0.030136,             0.70607,             0.41667,             0.50339,             0.17312,             0.13089,            0.040004,            0.028238,           0.0080946,           0.0080946,            0.025095
                   3,             0.12643,            0.040018,            0.027722,             0.38966,                 0.5,             0.52036,             0.12703,             0.12024,            0.051152,            0.022474,           0.0096288,           0.0096288,           0.0096288
                   4,             0.11839,            0.046961,            0.023566,             0.28107,             0.87174,             0.54791,             0.24608,             0.11206,            0.050891,            0.019647,           0.0096288,           0.0096288,           0.0096288
                   5,              0.1136,            0.048115,            0.019805,             0.85448,             0.66588,             0.75806,             0.37007,             0.10338,            0.054187,            0.012053,            0.009505,            0.009505,            0.009505
                   6,             0.10908,            0.050519,            0.018077,             0.54444,             0.72222,             0.72472,             0.44974,             0.10227,             0.05635,            0.012989,           0.0093813,           0.0093813,           0.0093813
                   7,            0.099601,             0.05274,            0.016379,             0.86691,             0.65531,             0.75659,              0.4896,            0.094229,            0.057959,             0.01133,           0.0092575,           0.0092575,           0.0092575
                   8,            0.099058,            0.051695,            0.015508,             0.57065,             0.81481,             0.75022,             0.46908,            0.084571,            0.057509,            0.010948,           0.0091337,           0.0091337,           0.0091337
                   9,            0.095506,             0.05558,            0.015024,             0.46015,             0.99908,             0.77003,             0.46245,            0.089279,            0.055976,           0.0096968,             0.00901,             0.00901,             0.00901
                  10,            0.096579,            0.052983,            0.013755,             0.51188,             0.83333,             0.75263,             0.50025,            0.082653,            0.056028,           0.0081418,           0.0088863,           0.0088863,           0.0088863
                  11,            0.090851,             0.05477,            0.013237,             0.53141,             0.98148,             0.76372,             0.45416,            0.081695,             0.05764,           0.0084743,           0.0087625,           0.0087625,           0.0087625
                  12,             0.09143,             0.05787,            0.012559,              0.6022,             0.99237,             0.82351,             0.61492,            0.076573,            0.056505,           0.0092046,           0.0086388,           0.0086388,           0.0086388
                  13,             0.08552,            0.056758,            0.012887,             0.79005,              0.8744,             0.87821,              0.6226,             0.07379,            0.056923,           0.0078513,            0.008515,            0.008515,            0.008515
                  14,            0.086919,            0.055316,            0.012124,             0.65625,             0.87623,             0.84055,             0.56758,            0.072916,            0.058173,           0.0079559,           0.0083913,           0.0083913,           0.0083913
