               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.15178,            0.035938,            0.037402,           0.0067307,                 0.5,            0.013646,           0.0031528,             0.14837,            0.037024,            0.036776,              0.0027,              0.0027,              0.0757
                   1,             0.14593,            0.037934,            0.036441,                   0,                   0,                   0,                   0,              0.1422,            0.035294,            0.036166,           0.0054728,           0.0054728,            0.050473
                   2,             0.14234,            0.037952,            0.034418,                   0,                   0,                   0,                   0,             0.14144,            0.031315,             0.03474,           0.0082178,           0.0082178,            0.025218
                   3,             0.13796,            0.044561,            0.032251,           0.0042112,             0.14815,           0.0085749,          0.00085749,              0.1374,            0.036602,            0.032769,           0.0098515,           0.0098515,           0.0098515
                   4,             0.13395,            0.048568,            0.030003,             0.73456,            0.083333,             0.11036,            0.022072,             0.13565,            0.038787,            0.028527,           0.0098515,           0.0098515,           0.0098515
                   5,             0.13117,            0.053452,            0.027179,           0.0064487,                0.25,            0.008016,            0.001993,             0.13913,            0.036274,            0.025077,            0.009802,            0.009802,            0.009802
                   6,             0.13003,             0.05185,            0.023914,             0.32128,             0.66667,             0.31535,            0.092282,             0.13006,            0.044964,            0.020277,           0.0097525,           0.0097525,           0.0097525
                   7,             0.12827,            0.052841,            0.020692,             0.37858,             0.41108,             0.28191,            0.064861,              0.1259,             0.04919,            0.017255,            0.009703,            0.009703,            0.009703
                   8,              0.1267,            0.052162,             0.01762,             0.27405,             0.62762,             0.28792,            0.083005,             0.12171,            0.053706,            0.014705,           0.0096535,           0.0096535,           0.0096535
                   9,             0.12494,            0.049956,            0.015828,             0.50624,                0.75,             0.76426,             0.29955,              0.1209,            0.056989,            0.013263,            0.009604,            0.009604,            0.009604
                  10,              0.1229,            0.051048,            0.013519,             0.80125,                 0.5,             0.70194,             0.34267,             0.11841,            0.056774,            0.014623,           0.0095545,           0.0095545,           0.0095545
                  11,             0.12185,            0.050652,            0.012532,              0.9851,             0.69863,             0.81907,               0.447,             0.11509,            0.052842,            0.010192,            0.009505,            0.009505,            0.009505
