               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.096792,            0.092723,            0.034557,             0.29718,             0.59376,             0.22201,            0.053922,            0.082166,            0.044688,             0.03196,           0.0032927,           0.0032927,            0.070366
                   1,            0.075076,            0.075644,            0.028184,             0.58215,             0.42769,             0.33542,            0.095665,            0.062511,            0.036404,             0.02341,           0.0065932,           0.0065932,            0.040333
                   2,            0.067487,            0.072033,            0.018854,             0.61682,             0.45381,             0.41468,              0.1613,            0.062707,            0.036805,            0.012904,           0.0098608,           0.0098608,            0.010267
                   3,            0.058219,            0.071783,            0.014003,             0.43104,             0.69709,             0.59528,             0.30304,            0.047664,            0.038669,            0.011544,           0.0098515,           0.0098515,           0.0098515
                   4,            0.050699,            0.070906,             0.01136,             0.56947,             0.89911,             0.83976,             0.44168,            0.040746,            0.036923,           0.0083061,           0.0098515,           0.0098515,           0.0098515
                   5,            0.045371,            0.065637,           0.0091211,             0.82073,             0.86012,             0.91632,             0.56252,            0.035625,            0.033925,           0.0064288,            0.009802,            0.009802,            0.009802
                   6,            0.043196,            0.067354,           0.0074969,             0.91291,             0.83102,              0.9205,             0.55005,            0.035115,            0.034346,           0.0049276,           0.0097525,           0.0097525,           0.0097525
                   7,            0.042451,             0.06498,           0.0071376,             0.86897,              0.9059,             0.92925,             0.60599,            0.033364,            0.034671,           0.0043582,            0.009703,            0.009703,            0.009703
                   8,            0.041886,            0.065809,           0.0061562,             0.91657,             0.88091,             0.92765,             0.52911,            0.036659,            0.033797,           0.0041075,           0.0096535,           0.0096535,           0.0096535
                   9,            0.039844,            0.064293,           0.0058179,             0.87785,             0.94305,             0.94812,             0.61232,            0.033617,            0.032016,           0.0034971,            0.009604,            0.009604,            0.009604
                  10,            0.038912,            0.061189,           0.0056022,             0.94265,             0.78502,             0.93485,             0.60184,            0.035152,            0.032514,            0.003385,           0.0095545,           0.0095545,           0.0095545
                  11,            0.038674,            0.063004,           0.0055046,             0.91577,              0.8293,             0.93531,             0.59078,            0.032044,            0.032231,           0.0037482,            0.009505,            0.009505,            0.009505
                  12,            0.037591,            0.060642,           0.0050819,             0.90866,             0.81778,             0.92707,             0.59658,            0.033458,            0.033211,           0.0029073,           0.0094555,           0.0094555,           0.0094555
                  13,            0.036633,            0.060848,           0.0047988,             0.93215,             0.94079,             0.96114,             0.63835,            0.030843,            0.031617,           0.0025691,            0.009406,            0.009406,            0.009406
                  14,            0.037218,            0.060905,           0.0047375,             0.93297,             0.83927,             0.94942,              0.6265,            0.032366,            0.031084,           0.0029911,           0.0093565,           0.0093565,           0.0093565
                  15,            0.037216,            0.061399,           0.0045883,             0.87554,             0.93426,             0.96027,             0.65199,            0.030971,            0.030539,           0.0020996,            0.009307,            0.009307,            0.009307
                  16,            0.035661,            0.059779,           0.0043014,             0.88384,             0.93658,             0.97357,             0.63916,            0.030208,            0.030429,           0.0021664,           0.0092575,           0.0092575,           0.0092575
                  17,            0.035372,             0.05859,           0.0042569,             0.87443,             0.93847,             0.96137,             0.66862,            0.029329,            0.030221,            0.002485,            0.009208,            0.009208,            0.009208
                  18,            0.035123,            0.059222,           0.0042624,             0.89805,             0.89238,              0.9605,             0.69128,            0.029356,            0.030476,           0.0025463,           0.0091585,           0.0091585,           0.0091585
                  19,            0.034816,            0.058792,           0.0039063,             0.90847,             0.91018,             0.96216,             0.66072,            0.029856,            0.028937,           0.0022614,            0.009109,            0.009109,            0.009109
                  20,            0.035242,            0.059771,           0.0041357,             0.94263,             0.85856,              0.9391,             0.65136,              0.0293,            0.028389,           0.0020321,           0.0090595,           0.0090595,           0.0090595
                  21,            0.035187,            0.059979,           0.0040856,             0.91774,             0.89867,             0.96349,              0.6735,            0.028541,            0.028838,           0.0023685,             0.00901,             0.00901,             0.00901
                  22,            0.034263,            0.057417,            0.003915,             0.90231,             0.88856,              0.9427,             0.65336,            0.029524,              0.0306,           0.0020556,           0.0089605,           0.0089605,           0.0089605
                  23,            0.034144,            0.058437,            0.003858,             0.92923,             0.87863,             0.95049,             0.63605,            0.030324,            0.032054,           0.0022783,            0.008911,            0.008911,            0.008911
                  24,            0.034647,            0.058442,           0.0037365,             0.86576,             0.95102,             0.96827,             0.66514,            0.030586,            0.029934,           0.0025682,           0.0088615,           0.0088615,           0.0088615
                  25,            0.033658,            0.055117,           0.0035888,             0.88931,             0.85151,             0.95053,             0.64165,            0.030457,            0.030007,           0.0034966,            0.008812,            0.008812,            0.008812
                  26,            0.033701,            0.057748,           0.0033021,             0.98207,             0.81016,             0.95538,             0.66794,            0.029286,            0.030332,           0.0019025,           0.0087625,           0.0087625,           0.0087625
                  27,            0.033091,            0.057578,           0.0033517,             0.90842,             0.84147,             0.94383,             0.68055,            0.028251,            0.028669,           0.0030643,            0.008713,            0.008713,            0.008713
                  28,            0.033825,            0.055262,           0.0035185,             0.97279,             0.84548,             0.97024,             0.66883,            0.029486,            0.030335,           0.0019613,           0.0086635,           0.0086635,           0.0086635
                  29,            0.033233,            0.057165,           0.0032339,             0.91624,             0.88633,             0.95471,             0.65067,            0.029274,            0.030451,           0.0032788,            0.008614,            0.008614,            0.008614
                  30,            0.032508,            0.054806,           0.0031411,             0.92257,             0.81785,             0.94991,             0.67571,            0.029203,            0.030291,           0.0032896,           0.0085645,           0.0085645,           0.0085645
                  31,            0.032578,            0.054459,           0.0029583,             0.90953,             0.90692,             0.97028,             0.69725,            0.028527,            0.028836,           0.0013495,            0.008515,            0.008515,            0.008515
                  32,             0.03359,            0.057811,           0.0030327,             0.87656,             0.91189,             0.96078,             0.69845,            0.027993,            0.029394,           0.0016647,           0.0084655,           0.0084655,           0.0084655
                  33,            0.032505,            0.055912,           0.0030747,             0.94601,             0.88391,               0.969,             0.68845,            0.028586,            0.030704,            0.001627,            0.008416,            0.008416,            0.008416
                  34,            0.032513,            0.054082,           0.0030189,             0.94185,             0.88103,             0.96293,             0.68571,            0.028109,             0.02869,           0.0012815,           0.0083665,           0.0083665,           0.0083665
                  35,            0.032226,            0.055252,           0.0030108,             0.90449,             0.91534,             0.96878,             0.69643,            0.027291,            0.029292,           0.0012808,            0.008317,            0.008317,            0.008317
                  36,             0.03297,            0.055153,           0.0029177,             0.95661,             0.87536,             0.96953,             0.68153,            0.028419,            0.029774,           0.0013617,           0.0082675,           0.0082675,           0.0082675
                  37,              0.0323,            0.054608,           0.0028073,             0.88252,             0.95032,             0.97454,              0.6888,            0.027499,              0.0283,           0.0012601,            0.008218,            0.008218,            0.008218
                  38,              0.0316,            0.053843,           0.0027847,             0.88049,             0.95189,             0.97693,             0.68349,            0.028181,              0.0284,           0.0013159,           0.0081685,           0.0081685,           0.0081685
                  39,            0.032125,            0.054006,           0.0027057,             0.89979,             0.91644,              0.9737,             0.68388,             0.02872,            0.028666,           0.0015143,            0.008119,            0.008119,            0.008119
                  40,            0.031265,            0.053558,           0.0029122,             0.93237,             0.91107,              0.9651,             0.68257,            0.028579,            0.029334,           0.0014178,           0.0080695,           0.0080695,           0.0080695
                  41,            0.032066,            0.052897,           0.0028283,             0.87776,             0.96735,             0.97478,             0.70437,            0.027221,            0.027857,           0.0010703,             0.00802,             0.00802,             0.00802
                  42,            0.032232,            0.054015,           0.0025876,             0.94391,             0.94323,             0.97778,             0.69926,            0.027521,            0.026725,           0.0012043,           0.0079705,           0.0079705,           0.0079705
                  43,            0.031574,             0.05268,           0.0026244,             0.94379,             0.92948,             0.98407,             0.71374,            0.027321,            0.028216,           0.0010681,            0.007921,            0.007921,            0.007921
                  44,            0.031557,             0.05299,            0.002548,             0.93783,             0.92281,             0.97776,             0.72207,            0.027221,            0.028819,           0.0012626,           0.0078715,           0.0078715,           0.0078715
                  45,            0.031506,            0.053168,           0.0025032,             0.88935,             0.90935,             0.94033,             0.68476,            0.026965,            0.027868,           0.0037521,            0.007822,            0.007822,            0.007822
                  46,            0.031872,            0.053516,           0.0027145,             0.89897,             0.93625,             0.97212,             0.69716,            0.027424,            0.027641,           0.0011355,           0.0077725,           0.0077725,           0.0077725
                  47,            0.030615,            0.053361,           0.0026613,             0.93877,             0.90208,             0.97325,             0.70004,             0.02685,            0.028208,           0.0010894,            0.007723,            0.007723,            0.007723
                  48,            0.031765,            0.052825,           0.0026903,             0.96985,             0.87316,             0.96778,             0.69529,            0.027054,            0.029149,           0.0010462,           0.0076735,           0.0076735,           0.0076735
                  49,            0.030973,            0.052776,           0.0024953,             0.98447,               0.903,             0.97579,             0.71665,            0.026868,            0.028042,            0.001329,            0.007624,            0.007624,            0.007624
                  50,            0.029848,             0.05228,           0.0024442,             0.94781,             0.90878,             0.97915,             0.70565,            0.027589,            0.028503,           0.0013253,           0.0075745,           0.0075745,           0.0075745
                  51,            0.031074,            0.052619,           0.0023986,             0.91598,             0.91364,             0.94959,             0.67772,            0.027164,            0.028618,           0.0023786,            0.007525,            0.007525,            0.007525
                  52,            0.030696,            0.053296,           0.0024941,             0.91085,             0.87505,             0.92922,             0.69116,            0.027728,            0.030136,           0.0021463,           0.0074755,           0.0074755,           0.0074755
                  53,            0.030049,            0.052654,           0.0026286,             0.93815,              0.8993,             0.96317,             0.71794,            0.027173,            0.030709,           0.0012597,            0.007426,            0.007426,            0.007426
                  54,             0.03099,            0.052733,           0.0023453,             0.92794,             0.90367,             0.96845,             0.69986,            0.027916,            0.029732,           0.0011359,           0.0073765,           0.0073765,           0.0073765
                  55,            0.030091,            0.052329,           0.0024593,             0.91871,             0.90534,             0.94942,             0.69395,            0.027638,              0.0313,            0.001215,            0.007327,            0.007327,            0.007327
                  56,            0.030546,            0.050819,           0.0023802,              0.9841,             0.88023,             0.97436,             0.71219,             0.02703,            0.029221,          0.00098018,           0.0072775,           0.0072775,           0.0072775
                  57,            0.030771,            0.051011,            0.002349,             0.93584,              0.9119,             0.96175,             0.70901,            0.027095,            0.029263,          0.00091566,            0.007228,            0.007228,            0.007228
                  58,            0.029578,            0.048923,           0.0022057,             0.92985,             0.88774,             0.96615,             0.71293,            0.027084,             0.02777,           0.0012994,           0.0071785,           0.0071785,           0.0071785
                  59,            0.030177,            0.051341,           0.0020087,               0.925,             0.90808,             0.96908,             0.72402,            0.026887,            0.027646,           0.0012999,            0.007129,            0.007129,            0.007129
                  60,            0.029604,            0.051465,           0.0021742,             0.91026,             0.94698,             0.97404,             0.72308,            0.026417,            0.028098,           0.0011289,           0.0070795,           0.0070795,           0.0070795
                  61,            0.029473,            0.049224,           0.0021183,             0.93503,             0.93626,             0.97405,             0.70646,            0.027082,            0.028366,          0.00096143,             0.00703,             0.00703,             0.00703
                  62,            0.029848,            0.050653,              0.0024,             0.93689,             0.89377,             0.97229,             0.71346,            0.027416,            0.029611,           0.0010587,           0.0069805,           0.0069805,           0.0069805
                  63,            0.029284,            0.050402,           0.0023344,             0.93207,              0.9202,             0.96803,             0.71998,            0.027242,            0.027395,           0.0010401,            0.006931,            0.006931,            0.006931
                  64,            0.029155,            0.048039,           0.0021211,             0.92306,             0.95128,             0.96632,             0.73939,            0.026262,            0.027105,          0.00097477,           0.0068815,           0.0068815,           0.0068815
                  65,            0.029081,            0.049379,           0.0020041,              0.9347,             0.91702,             0.95234,             0.71624,            0.027645,            0.030806,           0.0011794,            0.006832,            0.006832,            0.006832
                  66,            0.029556,            0.049056,            0.002355,             0.92675,             0.95114,             0.97338,             0.73683,            0.026479,            0.029127,           0.0010835,           0.0067825,           0.0067825,           0.0067825
                  67,             0.03009,            0.050879,           0.0021238,             0.94832,             0.92978,             0.97065,              0.7086,            0.026778,             0.02875,           0.0010358,            0.006733,            0.006733,            0.006733
                  68,             0.02887,            0.049221,            0.002191,              0.8933,             0.93621,             0.96719,              0.7243,            0.026595,            0.028567,           0.0016095,           0.0066835,           0.0066835,           0.0066835
                  69,            0.028349,            0.047428,           0.0019668,             0.94268,             0.96477,             0.97117,             0.71799,            0.026838,            0.027495,          0.00090681,            0.006634,            0.006634,            0.006634
                  70,            0.028828,            0.049609,           0.0021399,             0.90348,             0.95809,             0.97398,             0.70803,            0.026359,            0.028568,           0.0010413,           0.0065845,           0.0065845,           0.0065845
                  71,            0.029495,            0.048069,           0.0020721,             0.95218,              0.9469,             0.96842,             0.73744,            0.025597,            0.030217,           0.0009695,            0.006535,            0.006535,            0.006535
                  72,            0.028302,            0.047596,           0.0020448,             0.94217,              0.9646,             0.97329,             0.74734,            0.025236,            0.027058,          0.00096096,           0.0064855,           0.0064855,           0.0064855
                  73,            0.028483,            0.047782,           0.0019789,             0.96207,             0.94053,             0.97833,             0.73031,            0.025802,            0.028534,          0.00091059,            0.006436,            0.006436,            0.006436
                  74,             0.02856,            0.048726,           0.0021002,              0.9728,             0.91558,             0.97993,             0.73284,             0.02621,            0.028003,          0.00080331,           0.0063865,           0.0063865,           0.0063865
                  75,            0.028082,            0.046898,           0.0017185,             0.90781,             0.93685,             0.97343,             0.73648,            0.025683,            0.027063,             0.00158,            0.006337,            0.006337,            0.006337
                  76,            0.028587,            0.047049,            0.001739,             0.96056,             0.92889,              0.9788,             0.73398,             0.02626,            0.028861,          0.00083928,           0.0062875,           0.0062875,           0.0062875
                  77,            0.028479,            0.044911,           0.0017753,             0.98747,             0.94048,             0.97696,             0.72948,            0.026089,            0.028547,          0.00095168,            0.006238,            0.006238,            0.006238
                  78,            0.028028,            0.045872,            0.001784,             0.94905,             0.92978,               0.967,             0.73819,            0.026038,            0.029275,           0.0010646,           0.0061885,           0.0061885,           0.0061885
                  79,            0.027657,            0.045764,           0.0018703,              0.9395,             0.92583,              0.9689,             0.73582,            0.026154,            0.028585,          0.00094745,            0.006139,            0.006139,            0.006139
                  80,            0.028016,            0.043773,            0.001744,             0.93964,             0.96204,             0.97651,             0.72767,            0.025825,              0.0271,          0.00095465,           0.0060895,           0.0060895,           0.0060895
                  81,            0.027749,            0.045035,           0.0016856,             0.94977,             0.94432,             0.95013,             0.70464,              0.0271,            0.032859,            0.001021,             0.00604,             0.00604,             0.00604
                  82,            0.027734,            0.044692,           0.0018129,             0.92208,             0.94448,             0.96532,             0.71884,            0.027053,            0.031237,           0.0012092,           0.0059905,           0.0059905,           0.0059905
                  83,            0.027946,            0.046047,           0.0017456,             0.94583,             0.92548,             0.96386,             0.70418,            0.027225,            0.034582,          0.00084787,            0.005941,            0.005941,            0.005941
                  84,              0.0269,            0.044595,            0.001787,             0.98485,             0.89498,             0.96957,             0.74167,              0.0255,            0.028646,           0.0012104,           0.0058915,           0.0058915,           0.0058915
                  85,            0.026577,            0.042823,           0.0015937,             0.94864,             0.94036,             0.96842,             0.74153,            0.025085,            0.027641,          0.00080826,            0.005842,            0.005842,            0.005842
                  86,            0.027845,            0.045406,           0.0017459,             0.93113,             0.96884,             0.98259,             0.73553,            0.025242,            0.028898,          0.00084783,           0.0057925,           0.0057925,           0.0057925
                  87,            0.027402,            0.043474,           0.0016763,             0.97484,             0.96195,             0.98316,             0.75149,             0.02455,            0.029626,           0.0007728,            0.005743,            0.005743,            0.005743
                  88,            0.026879,            0.043357,           0.0016525,             0.96981,             0.95583,             0.98712,             0.75451,            0.024151,            0.027951,          0.00081168,           0.0056935,           0.0056935,           0.0056935
                  89,            0.027193,            0.043608,           0.0016344,             0.98695,             0.90937,              0.9801,             0.74528,            0.024584,            0.028926,          0.00096073,            0.005644,            0.005644,            0.005644
                  90,            0.026704,            0.044228,           0.0017236,             0.98035,             0.95361,             0.97939,             0.72771,            0.025301,            0.027784,          0.00066092,           0.0055945,           0.0055945,           0.0055945
                  91,            0.027046,            0.046709,           0.0020142,             0.96047,             0.96462,             0.98443,             0.75893,            0.024226,            0.024922,          0.00066019,            0.005545,            0.005545,            0.005545
                  92,            0.027017,            0.045675,           0.0019017,             0.91966,             0.98639,             0.98598,             0.73173,            0.025132,             0.02599,          0.00073051,           0.0054955,           0.0054955,           0.0054955
                  93,            0.026644,            0.046253,           0.0018342,             0.95498,             0.95667,             0.98818,             0.73765,            0.025099,            0.026152,          0.00070681,            0.005446,            0.005446,            0.005446
                  94,            0.026798,            0.046263,           0.0017505,             0.92876,             0.95132,             0.99127,             0.76071,            0.024092,               0.026,           0.0010695,           0.0053965,           0.0053965,           0.0053965
                  95,            0.027421,            0.046955,           0.0018385,             0.93847,             0.97169,             0.99233,             0.74299,            0.024323,            0.025572,          0.00071538,            0.005347,            0.005347,            0.005347
                  96,            0.027199,            0.047157,           0.0020166,             0.93101,             0.96665,             0.99066,             0.75528,            0.024788,            0.026628,           0.0006872,           0.0052975,           0.0052975,           0.0052975
                  97,            0.027254,            0.045446,           0.0017974,              0.8904,             0.97443,             0.98382,             0.75187,            0.024729,            0.025547,           0.0013718,            0.005248,            0.005248,            0.005248
                  98,            0.026676,            0.046078,           0.0018035,             0.95203,             0.97103,             0.97827,             0.74536,            0.024808,            0.024915,          0.00070747,           0.0051985,           0.0051985,           0.0051985
                  99,            0.026663,            0.045926,           0.0018005,             0.94967,             0.95759,              0.9831,             0.74452,            0.024736,             0.02534,           0.0006632,            0.005149,            0.005149,            0.005149
                 100,            0.026208,            0.043707,           0.0017572,             0.99955,              0.8746,             0.98361,             0.75693,            0.024223,            0.025514,           0.0014994,           0.0050995,           0.0050995,           0.0050995
                 101,            0.026294,             0.04593,           0.0018292,             0.94439,             0.95254,             0.97407,             0.73786,            0.025188,            0.025731,          0.00069776,             0.00505,             0.00505,             0.00505
                 102,            0.026555,            0.045939,           0.0018327,             0.92517,             0.97535,             0.97991,              0.7544,            0.024491,            0.026181,           0.0007154,           0.0050005,           0.0050005,           0.0050005
                 103,            0.026001,            0.043428,           0.0018034,              0.9351,             0.96489,             0.97222,             0.74051,            0.024558,            0.026299,          0.00066436,            0.004951,            0.004951,            0.004951
                 104,            0.026158,            0.045232,           0.0016741,             0.94591,             0.97564,             0.98567,             0.75493,             0.02403,            0.025957,          0.00061697,           0.0049015,           0.0049015,           0.0049015
                 105,            0.025936,            0.044174,           0.0017286,             0.93916,             0.96921,             0.97826,             0.75035,            0.023916,             0.02597,          0.00078821,            0.004852,            0.004852,            0.004852
                 106,            0.026046,            0.043558,           0.0016597,             0.95066,             0.95992,             0.98244,             0.74557,            0.023665,            0.025938,          0.00057867,           0.0048025,           0.0048025,           0.0048025
                 107,            0.026758,            0.046186,           0.0017556,             0.93752,             0.96468,             0.98585,             0.76248,            0.023687,            0.026595,          0.00060654,            0.004753,            0.004753,            0.004753
