               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.097168,            0.087253,            0.035413,             0.54228,             0.28045,             0.14743,            0.035636,            0.079635,             0.04074,            0.031485,           0.0032927,           0.0032927,            0.070366
                   1,            0.074534,            0.074816,            0.029357,              0.5845,             0.32412,             0.27139,             0.08375,            0.075087,             0.03714,            0.029075,           0.0065932,           0.0065932,            0.040333
                   2,            0.069646,            0.075092,            0.023551,             0.64898,             0.38227,             0.40843,             0.17764,            0.061735,            0.040798,            0.016762,           0.0098608,           0.0098608,            0.010267
                   3,            0.058223,            0.074462,            0.015509,             0.86961,             0.49739,             0.73222,             0.38753,            0.041048,            0.039169,            0.011198,           0.0098515,           0.0098515,           0.0098515
                   4,            0.051449,            0.069816,            0.012268,             0.79691,             0.79549,             0.88141,              0.5206,            0.039477,            0.036506,           0.0097465,           0.0098515,           0.0098515,           0.0098515
                   5,             0.04656,            0.069768,            0.010249,              0.8665,             0.83728,             0.87832,             0.56006,             0.03651,            0.034059,           0.0069999,            0.009802,            0.009802,            0.009802
                   6,            0.044031,            0.066135,           0.0076796,              0.9269,             0.81621,             0.88756,             0.58518,            0.034602,            0.033873,           0.0053198,           0.0097525,           0.0097525,           0.0097525
                   7,            0.041048,            0.064561,           0.0070309,              0.9049,             0.84995,              0.9017,             0.60835,            0.032848,            0.033222,           0.0051988,            0.009703,            0.009703,            0.009703
                   8,             0.03949,            0.064128,           0.0062158,             0.92975,             0.80267,             0.91081,             0.57664,            0.035373,            0.033855,           0.0040859,           0.0096535,           0.0096535,           0.0096535
                   9,            0.038749,            0.064068,           0.0060182,             0.82126,              0.8677,             0.90121,             0.60288,            0.032464,            0.034034,           0.0044592,            0.009604,            0.009604,            0.009604
                  10,            0.038422,            0.064032,           0.0059653,             0.78799,             0.90407,             0.93787,             0.60054,            0.033279,            0.033162,           0.0044152,           0.0095545,           0.0095545,           0.0095545
                  11,            0.038528,            0.061186,           0.0053929,             0.94927,             0.78737,             0.94341,             0.63283,             0.03248,             0.03155,           0.0033166,            0.009505,            0.009505,            0.009505
                  12,            0.038601,            0.063127,           0.0055056,             0.87528,             0.86061,             0.92384,             0.57822,            0.034067,            0.032161,           0.0035468,           0.0094555,           0.0094555,           0.0094555
                  13,            0.036812,            0.062142,           0.0049616,             0.89588,             0.84695,             0.93878,             0.59506,            0.032646,            0.031997,           0.0027568,            0.009406,            0.009406,            0.009406
                  14,            0.038086,            0.061107,           0.0048813,             0.80988,             0.91576,              0.9289,             0.63641,            0.032573,            0.032662,           0.0028854,           0.0093565,           0.0093565,           0.0093565
                  15,            0.035788,            0.059575,           0.0046861,             0.87728,             0.86077,             0.95982,             0.64355,            0.031548,            0.031423,           0.0027032,            0.009307,            0.009307,            0.009307
                  16,            0.036642,            0.059665,           0.0051296,             0.84375,             0.95689,             0.96219,             0.65431,            0.031962,            0.029804,           0.0026678,           0.0092575,           0.0092575,           0.0092575
                  17,            0.035561,            0.059288,           0.0047005,             0.87218,             0.88503,             0.94558,              0.6489,             0.02996,            0.029194,           0.0028756,            0.009208,            0.009208,            0.009208
                  18,            0.035355,            0.060142,           0.0043602,             0.92197,             0.87634,             0.96187,             0.64276,            0.030865,            0.031555,           0.0023229,           0.0091585,           0.0091585,           0.0091585
                  19,            0.034582,            0.059063,           0.0041187,             0.90693,             0.90757,             0.94438,              0.6483,            0.030031,            0.031912,           0.0023106,            0.009109,            0.009109,            0.009109
                  20,            0.035223,             0.05867,           0.0042318,             0.86258,             0.89828,             0.94689,             0.62869,            0.031435,            0.031318,           0.0025894,           0.0090595,           0.0090595,           0.0090595
                  21,            0.034698,            0.058686,           0.0041978,             0.92354,             0.87056,             0.96065,             0.66524,            0.029552,            0.030091,           0.0019967,             0.00901,             0.00901,             0.00901
                  22,            0.033749,            0.057726,            0.003921,             0.92438,             0.84852,              0.9556,             0.63607,            0.030986,            0.031879,           0.0023875,           0.0089605,           0.0089605,           0.0089605
                  23,            0.034348,            0.056578,            0.003879,             0.96491,             0.88106,             0.97694,             0.63549,             0.03068,            0.031303,           0.0022222,            0.008911,            0.008911,            0.008911
                  24,            0.034603,            0.058673,           0.0039273,             0.83157,             0.95658,             0.95252,             0.62885,              0.0307,            0.028355,           0.0033921,           0.0088615,           0.0088615,           0.0088615
                  25,            0.035041,            0.058972,           0.0037471,             0.85419,             0.93943,             0.96365,             0.65176,             0.03007,            0.030042,           0.0022699,            0.008812,            0.008812,            0.008812
                  26,            0.034476,             0.05788,           0.0035171,             0.90415,             0.83284,             0.95115,             0.62598,            0.030594,            0.030822,           0.0031011,           0.0087625,           0.0087625,           0.0087625
                  27,            0.033528,            0.057092,           0.0036256,             0.94424,             0.84915,             0.95108,             0.65058,            0.029484,            0.030477,           0.0020575,            0.008713,            0.008713,            0.008713
                  28,            0.034009,            0.056825,           0.0037285,             0.93589,             0.80393,             0.94219,             0.64455,            0.029805,            0.030463,           0.0041756,           0.0086635,           0.0086635,           0.0086635
                  29,            0.033321,            0.056704,           0.0033692,             0.97654,             0.80689,             0.95467,             0.64346,            0.029546,            0.030483,           0.0034869,            0.008614,            0.008614,            0.008614
                  30,            0.032903,            0.056593,           0.0033144,              0.9095,             0.93694,             0.97497,             0.69242,            0.028216,             0.02878,           0.0016896,           0.0085645,           0.0085645,           0.0085645
                  31,            0.033504,             0.05534,            0.003153,             0.89049,             0.90772,             0.96777,             0.68508,            0.028376,            0.029316,           0.0025871,            0.008515,            0.008515,            0.008515
                  32,             0.03315,              0.0562,           0.0033084,              0.9226,             0.90542,             0.97764,             0.71241,            0.028392,            0.030164,           0.0024588,           0.0084655,           0.0084655,           0.0084655
                  33,            0.033022,            0.056657,           0.0030192,             0.98704,               0.867,             0.96254,              0.6595,             0.02941,            0.032105,           0.0019097,            0.008416,            0.008416,            0.008416
                  34,            0.032026,            0.056213,           0.0032145,             0.97016,             0.83231,             0.95088,             0.66339,            0.029267,             0.03207,           0.0021728,           0.0083665,           0.0083665,           0.0083665
                  35,            0.032222,            0.054693,           0.0031174,              0.9236,             0.94053,             0.96696,              0.6804,             0.02851,            0.031318,           0.0016155,            0.008317,            0.008317,            0.008317
                  36,            0.032159,             0.05492,           0.0029667,             0.95649,              0.9005,             0.97039,             0.68674,             0.02888,            0.030381,           0.0020959,           0.0082675,           0.0082675,           0.0082675
                  37,            0.032389,            0.053344,            0.002742,             0.96262,             0.82422,             0.95404,             0.67566,            0.028947,            0.030267,           0.0018508,            0.008218,            0.008218,            0.008218
                  38,            0.031129,            0.053089,           0.0027114,             0.97848,              0.9033,             0.97328,             0.68364,            0.028197,            0.030488,           0.0023369,           0.0081685,           0.0081685,           0.0081685
                  39,            0.030944,            0.053081,           0.0025936,             0.91888,             0.88234,              0.9602,             0.68734,            0.028742,            0.030051,           0.0017293,            0.008119,            0.008119,            0.008119
                  40,            0.032062,             0.05359,           0.0027675,             0.97597,             0.91217,             0.97408,             0.70252,            0.028818,            0.030048,           0.0016549,           0.0080695,           0.0080695,           0.0080695
                  41,            0.032215,            0.054075,           0.0027472,             0.94986,             0.92087,             0.97349,             0.71667,             0.02804,            0.030824,           0.0019303,             0.00802,             0.00802,             0.00802
                  42,            0.031594,            0.051872,           0.0025102,             0.95919,             0.91431,             0.97734,             0.71813,            0.027775,             0.03066,           0.0014522,           0.0079705,           0.0079705,           0.0079705
                  43,            0.032258,            0.053424,           0.0027309,             0.93544,              0.9086,             0.97642,             0.70399,            0.027954,            0.028187,           0.0012164,            0.007921,            0.007921,            0.007921
                  44,            0.031015,            0.053019,            0.002588,             0.93952,             0.89886,             0.97245,             0.70407,            0.028024,             0.02762,           0.0012856,           0.0078715,           0.0078715,           0.0078715
                  45,            0.031499,            0.052299,           0.0025018,             0.96537,             0.92098,             0.97765,             0.70276,            0.027839,            0.029447,           0.0012196,            0.007822,            0.007822,            0.007822
                  46,            0.030443,            0.051134,           0.0023909,             0.91623,             0.96204,               0.975,             0.70146,            0.027858,            0.028922,           0.0012141,           0.0077725,           0.0077725,           0.0077725
                  47,            0.030612,            0.051314,           0.0026441,             0.90615,             0.98142,             0.97957,             0.71291,            0.027537,            0.028487,           0.0010343,            0.007723,            0.007723,            0.007723
                  48,            0.031004,            0.051512,           0.0025586,             0.93225,             0.91056,             0.97593,             0.71537,             0.02757,            0.028609,           0.0010675,           0.0076735,           0.0076735,           0.0076735
                  49,            0.030711,            0.050455,           0.0024036,             0.89325,             0.97564,             0.97729,             0.69946,             0.02767,            0.028739,           0.0012863,            0.007624,            0.007624,            0.007624
                  50,            0.030552,            0.051038,           0.0022716,             0.90757,             0.93715,             0.97414,             0.69974,            0.028097,            0.030769,            0.001177,           0.0075745,           0.0075745,           0.0075745
                  51,            0.030606,             0.05152,           0.0021945,             0.85176,             0.96888,             0.97148,             0.70021,            0.028129,            0.031247,           0.0017539,            0.007525,            0.007525,            0.007525
                  52,            0.030576,            0.051196,           0.0023342,             0.88111,             0.94572,             0.94692,             0.65793,            0.028551,            0.030585,           0.0024045,           0.0074755,           0.0074755,           0.0074755
                  53,            0.030103,            0.049803,           0.0023533,             0.96888,             0.91197,             0.97539,             0.68207,            0.027765,            0.029474,           0.0015541,            0.007426,            0.007426,            0.007426
                  54,            0.030883,            0.050405,           0.0022149,             0.93254,             0.89504,             0.95804,             0.69025,            0.027987,            0.030511,           0.0014171,           0.0073765,           0.0073765,           0.0073765
                  55,             0.03025,            0.048664,           0.0020669,             0.91934,             0.89578,             0.97233,             0.70232,            0.027746,            0.029563,           0.0011345,            0.007327,            0.007327,            0.007327
                  56,            0.029629,            0.048695,           0.0020299,             0.89521,             0.95599,             0.94987,             0.68606,            0.027766,             0.02972,           0.0028239,           0.0072775,           0.0072775,           0.0072775
                  57,            0.029668,            0.048779,           0.0020902,             0.92524,             0.89881,             0.96599,              0.7003,            0.027461,            0.029572,           0.0015353,            0.007228,            0.007228,            0.007228
                  58,            0.029735,            0.048886,           0.0020877,             0.96594,             0.92275,              0.9777,             0.69564,            0.027998,            0.030221,           0.0011553,           0.0071785,           0.0071785,           0.0071785
                  59,             0.03028,             0.04957,           0.0021738,             0.93148,             0.93287,             0.95149,             0.68728,             0.02686,            0.029616,           0.0021206,            0.007129,            0.007129,            0.007129
                  60,            0.029387,            0.047401,           0.0019794,             0.93869,             0.95128,             0.98185,             0.71028,            0.026999,            0.030271,           0.0011059,           0.0070795,           0.0070795,           0.0070795
